Action,UserID,Password,NEWPassword,FamilyName,GivenName,UserRole
AU,TESTSB55,welcome1,welcome2,TEST,SB55,S
AU,TESTSB56,welcome1,welcome2,TEST,SB56,S
AU,TESTSB57,welcome1,welcome2,TEST,SB57,S
AU,TESTSB58,welcome1,welcome2,TEST,SB58,S
AU,TESTSB59,welcome1,welcome2,TEST,SB59,S
AU,TESTSB60,welcome1,welcome2,TEST,SB60,S
AU,TESTSB61,welcome1,welcome2,TEST,SB61,S
AU,TESTSB62,welcome1,welcome2,TEST,SB62,S
AU,TESTSB63,welcome1,welcome2,TEST,SB63,S
AU,TESTSB64,welcome1,welcome2,TEST,SB64,S
AU,TESTSB65,welcome1,welcome2,TEST,SB65,S
AU,TESTSB66,welcome1,welcome2,TEST,SB66,S
AU,TESTSB67,welcome1,welcome2,TEST,SB67,S
AU,TESTSB68,welcome1,welcome2,TEST,SB68,S
AU,TESTSB69,welcome1,welcome2,TEST,SB69,S
AU,TESTSB70,welcome1,welcome2,TEST,SB70,S
AU,TESTSB71,welcome1,welcome2,TEST,SB71,S
AU,TESTSB72,welcome1,welcome2,TEST,SB72,S
AU,TESTSB73,welcome1,welcome2,TEST,SB73,S
AU,TESTSB74,welcome1,welcome2,TEST,SB74,S
AU,TESTSB75,welcome1,welcome2,TEST,SB75,S
AU,TESTSB76,welcome1,welcome2,TEST,SB76,S
AU,TESTSB77,welcome1,welcome2,TEST,SB77,S
AU,TESTSB78,welcome1,welcome2,TEST,SB78,S
AU,TESTSB79,welcome1,welcome2,TEST,SB79,S
AU,TESTSB80,welcome1,welcome2,TEST,SB80,S
AU,TESTSB81,welcome1,welcome2,TEST,SB81,S
AU,TESTSB82,welcome1,welcome2,TEST,SB82,S
AU,TESTSB83,welcome1,welcome2,TEST,SB83,S
AU,TESTSB84,welcome1,welcome2,TEST,SB84,S
AU,TESTSB85,welcome1,welcome2,TEST,SB85,S
AU,TESTSB86,welcome1,welcome2,TEST,SB86,S
AU,TESTSB87,welcome1,welcome2,TEST,SB87,S
AU,TESTSB88,welcome1,welcome2,TEST,SB88,S
AU,TESTSB89,welcome1,welcome2,TEST,SB89,S
AU,TESTSB90,welcome1,welcome2,TEST,SB90,S
AU,TESTSB91,welcome1,welcome2,TEST,SB91,S
AU,TESTSB92,welcome1,welcome2,TEST,SB92,S
AU,TESTSB93,welcome1,welcome2,TEST,SB93,S
AU,TESTSB94,welcome1,welcome2,TEST,SB94,S
AU,TESTSB95,welcome1,welcome2,TEST,SB95,S
AU,TESTSB96,welcome1,welcome2,TEST,SB96,S
AU,TESTSB97,welcome1,welcome2,TEST,SB97,S
AU,TESTSB98,welcome1,welcome2,TEST,SB98,S
AU,TESTSB99,welcome1,welcome2,TEST,SB99,S
AU,TESTSB100,welcome1,welcome2,TEST,SB100,S
AU,TESTSB101,welcome1,welcome2,TEST,SB101,S
AU,TESTSB102,welcome1,welcome2,TEST,SB102,S
AU,TESTSB103,welcome1,welcome2,TEST,SB103,S
AU,TESTSB104,welcome1,welcome2,TEST,SB104,S
AU,TESTSB105,welcome1,welcome2,TEST,SB105,S
AU,TESTSB106,welcome1,welcome2,TEST,SB106,S
AU,TESTSB107,welcome1,welcome2,TEST,SB107,S
AU,TESTSB108,welcome1,welcome2,TEST,SB108,S
AU,TESTSB109,welcome1,welcome2,TEST,SB109,S
AU,TESTSB110,welcome1,welcome2,TEST,SB110,S
AU,TESTSB111,welcome1,welcome2,TEST,SB111,S
AU,TESTSB112,welcome1,welcome2,TEST,SB112,S
AU,TESTSB113,welcome1,welcome2,TEST,SB113,S
AU,TESTSB114,welcome1,welcome2,TEST,SB114,S
AU,TESTSB115,welcome1,welcome2,TEST,SB115,S
AU,TESTSB116,welcome1,welcome2,TEST,SB116,S
AU,TESTSB117,welcome1,welcome2,TEST,SB117,S
AU,TESTSB118,welcome1,welcome2,TEST,SB118,S
AU,TESTSB119,welcome1,welcome2,TEST,SB119,S
AU,TESTSB120,welcome1,welcome2,TEST,SB120,S
AU,TESTSB121,welcome1,welcome2,TEST,SB121,S
AU,TESTSB122,welcome1,welcome2,TEST,SB122,S
AU,TESTSB123,welcome1,welcome2,TEST,SB123,S
AU,TESTSB124,welcome1,welcome2,TEST,SB124,S
AU,TESTSB125,welcome1,welcome2,TEST,SB125,S
